Date,Description,Amount
2024-01-15,NETFLIX.COM 800-123-4567,15.99
2024-01-12,SPOTIFY USA,9.99
2024-01-10,OPENAI *CHATGPT PLUS,20.00
2024-01-08,ADOBE *CREATIVE CLOUD,54.99
2024-01-05,AMAZON PRIME MEMBERSHIP,14.99
2024-01-03,APPLE.COM/BILL ONE APPLE PARK,2.99
2024-01-02,GITHUB INC,4.00
2024-01-01,NOTION LABS INC,10.00
2024-02-15,NETFLIX.COM 800-123-4567,15.99
2024-02-12,SPOTIFY USA,9.99
2024-02-10,OPENAI *CHATGPT PLUS,20.00
2024-02-08,ADOBE *CREATIVE CLOUD,54.99
2024-02-05,PLANET FITNESS,24.99
2024-02-03,APPLE.COM/BILL ONE APPLE PARK,2.99
2024-02-02,GITHUB INC,4.00
2024-02-01,NOTION LABS INC,10.00
2024-03-15,NETFLIX.COM 800-123-4567,15.99
2024-03-12,SPOTIFY USA,9.99
2024-03-10,OPENAI *CHATGPT PLUS,20.00
2024-03-08,ADOBE *CREATIVE CLOUD,54.99
2024-03-05,AMAZON PRIME MEMBERSHIP,14.99
2024-03-05,PLANET FITNESS,24.99
2024-03-03,APPLE.COM/BILL ONE APPLE PARK,2.99
2024-03-02,GITHUB INC,4.00
2024-03-01,NOTION LABS INC,10.00
2024-03-01,DISCORD NITRO,9.99
2024-01-20,WHOLE FOODS MARKET,87.32
2024-01-25,SHELL OIL 12345,45.00
2024-02-14,RESTAURANT DOWNTOWN,78.50
2024-02-22,TARGET STORE 1234,156.78
2024-03-08,CVS PHARMACY,23.45
2024-03-10,UBER TRIP,18.75

